team,team_ar,draw,loser,winner,matches,winning_perc,losing_perc,draw_perc,start_year,end_year,team_txt
Argentina,الأرجنتين,130,145,245,520,47,28,25,1902,2022,Argentina
Australia,أستراليا,46,65,54,165,33,39,28,1924,2022,Australia
Belgium,بلجيكا,98,182,158,438,36,42,22,1904,2022,Belgium
Brazil,البرازيل,103,107,289,499,58,21,21,1914,2022,Brazil
Cameroon,الكاميرون,36,43,27,106,25,41,34,1967,2022,Cameroon
Canada,كندا,35,86,30,151,20,57,23,1924,2022,Canada
Costa Rica,كوستا ريكا,54,102,43,199,22,51,27,1956,2022,Costa_Rica
Croatia,كرواتيا,29,51,45,125,36,41,23,1940,2022,Croatia
Denmark,الدنمارك,47,101,83,231,36,44,20,1912,2022,Denmark
Ecuador,الاكوادور,53,114,38,205,19,56,26,1939,2022,Ecuador
England,إنجلترا,115,96,223,434,51,22,26,1900,2022,England
France,فرنسا,93,130,181,404,45,32,23,1904,2022,France
Germany,ألمانيا,99,111,216,426,51,26,23,1908,2022,Germany
Ghana,غانا,25,47,28,100,28,47,25,1961,2022,Ghana
Iran,إيران,42,41,42,125,34,33,34,1970,2022,Iran
Japan,اليابان,58,105,76,239,32,44,24,1954,2022,Japan
Mexico,المكسيك,103,133,168,404,42,33,25,1930,2022,Mexico
Morocco,المغرب,49,48,51,148,34,32,33,1960,2022,Morocco
Netherlands,هولندا,107,126,176,409,43,31,26,1905,2022,Netherlands
Poland,بولندا,70,112,80,262,31,43,27,1924,2022,Poland
Portugal,البرتغال,77,105,94,276,34,38,28,1921,2022,Portugal
Qatar,قطر,26,59,22,107,21,55,24,1970,2022,Qatar
Saudi Arabia,المملكة العربية السعودية,46,79,48,173,28,46,27,1967,2022,Saudi_Arabia
Senegal,السنغال,29,40,28,97,29,41,30,1965,2022,Senegal
Serbia,صربيا,32,48,29,109,27,44,29,1950,2022,Serbia
South Korea,كوريا الجنوبية,79,99,91,269,34,37,29,1954,2022,South_Korea
Spain,إسبانيا,77,73,151,301,50,24,26,1921,2022,Spain
Switzerland,سويسرا,78,158,88,324,27,49,24,1905,2022,Switzerland
Tunisia,تونس,56,61,37,154,24,40,36,1960,2022,Tunisia
United States,الولايات المتحدة الأمريكية,65,152,95,312,30,49,21,1924,2022,United_States
Uruguay,أوروغواي,115,175,148,438,34,40,26,1902,2022,Uruguay
Wales,ويلز,46,129,39,214,18,60,21,1900,2022,Wales